,id,review_count,categories,rating,neighbourhood,count_of_businesses,scores
0,veq1Bl1DW3UWMekZJUsG1Q,3322,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.5,Flatiron,39,19.587628865979383
1,nRO136GRieGtxz18uD61DA,2397,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,Flatiron,39,19.587628865979383
2,16ZnHpuaaBt92XWeJHCC5A,4344,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,Greenwich Village,70,35.56701030927835
3,1DfbZ0VsSCg9g1KILmnvzQ,1849,"[{'alias': 'french', 'title': 'French'}]",4.5,Lincoln Square,28,13.917525773195877
4,O1fUmxt3kbV-rnyjBtzAfw,2620,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,Lenox Hill,10,4.639175257731959
5,vRrVSB-LegwUwIxpkeRVtQ,2868,"[{'alias': 'french', 'title': 'French'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.5,Midtown,59,29.896907216494846
6,s3jou_L_LVYGkNHiuhjlew,2218,"[{'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.5,West Village,60,30.412371134020617
7,SaYTVG7wHCMDBofHCgXPaA,1975,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,Clinton,38,19.072164948453608
8,WJS06XxRdc6DD1s4LWE9HA,1279,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}]",4.5,Noho,90,45.876288659793815
9,_LJFf9YqpYxvExTvVxb7Rw,1144,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.5,Midtown,59,29.896907216494846
10,8XHbZIKDQbXhyKIGiukVeQ,1383,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,Flatiron,39,19.587628865979383
11,z5hRX3iJ5Ty_S38iG_WY3Q,2012,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.5,Midtown,59,29.896907216494846
12,ypqK8DWM8Bcs43YveSJnNw,592,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.5,Financial District,44,22.164948453608247
13,V7lXZKBDzScDeGB8JmnzSA,14926,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'soup', 'title': 'Soup'}]",4.0,Noho,90,45.876288659793815
14,ysqgdbSrezXgVwER2kQWKA,2637,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,Chinatown,82,41.75257731958763
15,klAhw3xLQi9GF1tf_HnS7w,2784,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'izakaya', 'title': 'Izakaya'}]",4.5,Midtown South,47,23.711340206185564
16,44SY464xDHbvOcjDzRbKkQ,10601,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.0,Noho,90,45.876288659793815
17,wGFSTTB6b4MHJJUzBnVJeg,1851,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'halal', 'title': 'Halal'}]",4.5,Greenwich Village,70,35.56701030927835
18,GticI2JB8Iw2ktRfLv6aRQ,385,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.5,Noho,90,45.876288659793815
19,4yPqqJDJOQX69gC66YUDkA,6770,"[{'alias': 'steak', 'title': 'Steakhouses'}]",4.0,Lower East Side,195,100.0
