neighborhood,twitter_score,door_dash_score,grocery_score,streeteasy_score,mta_score
Chinatown,60.21274792,,41.75,81.61217,7.317073171
Washington Heights,7.810185725,,,95.42523,29.26829268
Inwood,40.34076466,59.2955,,100,26.82926829
Hamilton Heights,22.19518726,,,90.71322,29.26829268
Central Harlem,43.45128839,,1.03,89.78541,30.48780488
East Harlem,55.62736415,,1.55,91.36572,15.85365854
Upper East Side,43.31403786,,1.55,79.405464,8.536585366
Roosevelt Island,45.81252855,0,27.32,73.99317,0
Upper West Side,37.64569644,3.187,3.61,70.98092,28.04878049
Midtown,49.89669416,,29.9,57.635326,100
Chelsea,51.18858921,7.5762,13.4,60.1164,0
Greenwich Village,51.02848723,,35.57,63.18393,48.7804878
East Village,49.05120323,,31.44,74.65844,8.536585366
Lower East Side,45.89056395,100,100,75.83029,0
Tribeca,71.41402074,,8.76,5.2778625,3.658536585
Little Italy,31.90231018,,24.23,72.82074,15.85365854
Soho,52.79338033,,4.64,38.631065,7.317073171
West Village,56.53611776,5.4795,30.41,63.53758,4.87804878
Morningside Heights,42.98142581,,0,76.17961,13.41463415
Gramercy,40.71044001,,7.73,67.40036,7.317073171
Battery Park City,51.36537361,69.9748,7.22,54.80154,0
Financial District,37.71947542,,22.16,65.831406,100
Midtown South,50.3529827,,23.71,62.512104,60.97560976
Stuyvesant Town,59.55487664,,11.34,59.29591,0
Flatiron,57.81086808,,19.59,47.659744,58.53658537
